articleNumber,name,brand,category,subcategory,packSizeValue,packSizeUnit,salesUnit,unitsPerSalesUnit,priceCHF,priceBasis,sourceUrl,verifiedAt,verificationStatus,notes
087180,"Ferrarini Bresaola Punta d'anca 1/2, ca. 1,6 kg",Ferrarini,meat_poultry,beef,1.6,kg,pack,,47.99,per_kg,,,seed_unverified,
396130,"Raimond Frères MSC Thon rosé in Wasser, 4 x 200 g",Raimond Frères,fish_seafood,tuna,800,g,pack,4,1.75,per_piece,,,seed_unverified,
241062,"Lu Tuc classic, 3 x 100 g",Lu Tuc,bread_bakery,crackers,300,g,pack,,1.20,per_pack,,,seed_unverified,
402900,"Thai Kitchen Rote Curry Paste, 225 g",Thai Kitchen,sauces_condiments,curry_paste,225,g,jar,,4.35,per_pack,,,seed_unverified,
037560,"Hilcona Gnocchi, 5 x 1 kg",Hilcona,rice_pasta_grains,gnocchi,5,kg,case,,21.30,per_pack,,,seed_unverified,
094659,"Kadi Frühlingsrollen China Gemüse, vegetarisch, TK, 32 x 50 g / 1,6 kg",Kadi,vegetables_fruit,vegetarian_snacks,1.6,kg,case,,24.96,per_pack,,,seed_unverified,
410990,"Barilla Penne Rigate n°73, 500 g",Barilla,rice_pasta_grains,pasta,500,g,pack,,1.99,per_pack,,,seed_unverified,
403260,"Mae Ploy Curry Paste gelb, vegan, 400 g",Mae Ploy,sauces_condiments,curry_paste,400,g,tub,,2.85,per_pack,,,seed_unverified,
410970,"Barilla Spaghetti n°5, 500 g",Barilla,rice_pasta_grains,pasta,500,g,pack,,1.79,per_pack,,,seed_unverified,
458620,"Hellmann's Real Mayonnaise Squeeze, 8 x 430 ml",Hellmann's,sauces_condiments,mayonnaise,3440,ml,case,,34.00,per_pack,,,seed_unverified,
001852,"Quality ASC Seesaiblings Filet, mit Haut, grätenarm",Quality,fish_seafood,white_fish,1,kg,pack,,22.90,per_kg,,,seed_unverified,
019272,"Caprice des Dieux, laktosefrei, 125 g",Caprice des Dieux,dairy_eggs,cheese,125,g,piece,1,3.14,per_piece,,,seed_unverified,
413040,"Natura Bio Knospe Kernenmix, 1 kg",Natura,dessert_ingredients,seeds,1,kg,bag,,8.89,per_pack,,,seed_unverified,
688660,"Valser Still 6 x 1,5 l",Valser,non_alcoholic_drinks,mineral_water,9,l,case,6,0.99,per_piece,,,seed_unverified,
061171,Bell Augustiner Schüblig 5 x 155 g,Bell,meat_poultry,sausage,775,g,pack,5,2.29,per_piece,,,seed_unverified,
092321,"Ditzler Sommergemüse, TK, 2 x 2,5 kg",Ditzler,vegetables_fruit,mixed_vegetables,5,kg,case,,4.30,per_kg,,,seed_unverified,
068406,"Quality Pulpo Blume, geputzt, tiefgekühlt, ca. 1 - 2 kg",Quality,fish_seafood,octopus,1.5,kg,pack,,17.50,per_kg,,,seed_unverified,
092150,"Ditzler Maiskörner lose gefroren TK, 2 x 2,5 kg",Ditzler,vegetables_fruit,corn,5,kg,case,,3.85,per_kg,,,seed_unverified,
152501,"Thomy Mayonnaise à la française, 10,5 kg",Thomy,sauces_condiments,mayonnaise,10.5,kg,bucket,,87.05,per_pack,,,seed_unverified,
001271,"Kalbs-Halsbraten gebunden, ca. 1,3 kg",Quality,meat_poultry,veal,1.3,kg,pack,,27.69,per_kg,,,seed_unverified,
103492,"Hero Honig cremig, Portionen, 120 x 25 g",Hero,dessert_ingredients,honey,3,kg,case,,53.42,per_pack,,,seed_unverified,
396210,"Raimond Frères MSC Sardellenfilets, eingelegt in Olivenöl, 5 x 50 g",Raimond Frères,fish_seafood,anchovies,250,g,pack,5,1.99,per_piece,,,seed_unverified,
026196,"Emmi Suisse Jogurt Mini Nature, 20 x 90 g",Emmi,dairy_eggs,yogurt,1.8,kg,case,,8.60,per_pack,,,seed_unverified,
012060,"Val d'Arve Le Brie, 1/1 Laib 1 kg",Val d'Arve,dairy_eggs,cheese,1,kg,piece,1,14.50,per_piece,,,seed_unverified,
241341,"Oreo Original, 3 x 154 g",Oreo,bread_bakery,biscuits,462,g,pack,3,2.29,per_piece,,,seed_unverified,
019611,"Philadelphia, 200 g",Philadelphia,dairy_eggs,cream_cheese,200,g,tub,,2.41,per_pack,,,seed_unverified,
