"articleNumber","name","brand","category","subcategory","packSizeValue","packSizeUnit","salesUnit","unitsPerSalesUnit","ingredients","dietaryTags","allergens","origin","priceCHF","priceBasis","sourceUrl","verifiedAt","verificationStatus","notes","provenance","identityProvenance","packProvenance","priceProvenance","nameConflict","packConflict","conflictFields","conflictDetails","conflictResolution","resolutionSourceUrl"
"001483","Poulet Oberschenkel Steak mit Haut, ohne Knochen, 60–130 g,","","meat_poultry","","2","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001508","Poulet Brust Innenfilet, 20-40 g,","","meat_poultry","","2.5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001509","Poulet Rückenfilet,","","meat_poultry","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001519","Poulet Brust Schnitzel, ca. 100 g,","","meat_poultry","","1","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001750","Schweins-Hals, Walliser Braten,","","meat_poultry","","2.5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001751","Rinds-Sauerbraten mit Beize II,","","meat_poultry","","10","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001758","Schweins-Hals, Schwedenbraten, längs halbiert,","","meat_poultry","","2.4","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001759","Schweins-Hals, Tessiner Braten, längs halbiert,","","meat_poultry","","2.7","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-03/2024_0062_tg-care_kompetenz_fleisch_d_94986_1.pdf","2026-08-22T12:54:07.146Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
"001852","Quality ASC Seesaiblings Filet, mit Haut, grätenarm","Quality","fish_seafood","white_fish","1","kg","pack","","","","","","22.90","per_kg","","","seed_unverified","","seed","seed","seed","seed","false","false","","","",""
"002013","MSC Seelachs Filet Royal ohne Haut, ca. 140–160 g, Wild, FAO 27, tiefgekühlt,","","fish_seafood","","5","kg","package","1","","","","","","","https://www-static.transgourmet.ch/public/2024-07/2024_1187_tg-care_kompetenz_fisch_d.pdf","2026-08-22T12:54:05.471Z","verified_public_source","Extracted from an official public Transgourmet PDF.","scraped","scraped","scraped","","false","false","","","",""
